0	3946
1	3809
2	3898
3	3952
4	3905
5	3871
6	3816
7	3848
8	3881
9	3805
10	3894
11	3923
12	3926
13	3961
14	3952
15	3912
16	3920
17	3981
18	3788
19	3832
20	4015
21	3960
22	3947
23	3866
24	3868
25	3906
26	3779
27	3821
28	3908
29	3810
30	3775
31	3972
32	3945
33	3883
34	3933
35	3958
36	3985
37	3884
38	3859
39	3896
40	3868
41	3907
42	3977
43	3778
44	3973
45	3960
46	3894
47	3995
48	3945
49	3959
50	3874
51	3961
52	3980
53	3875
54	3949
55	3880
56	3919
57	3904
58	3939
59	3825
60	3911
61	3896
62	3862
63	3801
64	3878
65	3817
66	3994
67	3864
68	3867
69	3952
70	3876
71	3894
72	3893
73	3952
74	3977
75	3814
76	3927
77	3991
78	3899
79	3842
80	3866
81	3927
82	3857
83	3868
84	3981
85	3979
86	3940
87	3856
88	3884
89	3903
90	3796
91	4016
92	3982
93	3936
94	3847
95	3817
96	3971
97	3953
98	3978
99	3764
100	3900
101	3829
102	3878
103	3822
104	3980
105	3986
106	3925
107	3908
108	3837
109	3884
110	3946
111	3904
112	3924
113	3910
114	4051
115	3979
116	3865
117	3919
118	3861
119	3883
120	3885
121	4012
122	3804
123	3901
124	3872
125	3903
126	3954
127	3885
128	3883
129	3870
130	4029
131	3939
132	3943
133	3874
134	3857
135	3776
136	4016
137	3881
138	3844
139	3837
140	3940
141	3900
142	3897
143	3945
144	3915
145	3987
146	3943
147	3957
148	3927
149	3881
150	3899
151	3938
152	3932
153	3914
154	3816
155	3883
156	3933
157	3888
158	3877
159	3861
160	3912
161	3980
162	3902
163	3819
164	3924
165	3976
166	3875
167	3924
168	3978
169	3836
170	3972
171	3924
172	3901
173	3940
174	3778
175	4027
176	3905
177	3848
178	3937
179	3942
180	3906
181	3828
182	3887
183	3843
184	3937
185	3935
186	3916
187	3897
188	3988
189	3805
190	3997
191	4045
192	3853
193	3930
194	3860
195	3892
196	3888
197	3974
198	3916
199	3871
200	3933
201	3874
202	3964
203	3889
204	3797
205	3778
206	3921
207	3842
208	3911
209	3870
210	4014
211	3974
212	3933
213	3832
214	3834
215	3943
216	3914
217	3994
218	3820
219	3872
220	3974
221	3857
222	3981
223	3863
224	3966
225	4062
226	3815
227	3861
228	3871
229	3917
230	3960
231	3897
232	3818
233	3927
234	3871
235	3792
236	3829
237	3953
238	4021
239	3864
240	3877
241	3898
242	4022
243	3889
244	3994
245	3930
246	3885
247	3934
248	3938
249	3956
250	3947
251	3960
252	3956
253	3925
254	3898
255	3946
