16	351673	14568	16125952	5984256
32	355786	3856.84	16125952	15015936
64	352389	3187.39	16125952	15474688
128	357929	2666.55	16125952	15482880
256	356188	4732.73	16125952	15716352
512	355556	4794.35	19947520	15810560
1024	362093	3692.03	19947520	15810560
2048	360360	6709.32	19947520	17342464
4096	367123	7269.68	26255360	18104320
8192	375681	3038.24	26255360	18976768
16384	377113	3897.87	26255360	21073920
32768	391865	2555.96	26255360	25268224
65536	389737	3193.45	34938880	34918400
131072	381969	7330.5	51154944	18821120
262144	375630	6617.83	83427328	18821120
524288	369426	2295.47	148508672	18821120
1048576	365003	3827.55	278671360	18821120
