1	13549	2524.13	4923392	2490368
2	16155	1392.49	5038080	4960256
3	16175	1017.09	5083136	5070848
4	17116	748.05	5152768	5140480
5	15679	1098.8	7368704	5292032
6	13690	971.817	7442432	5353472
7	11862	632.906	7569408	5505024
8	9891	724.064	7839744	5763072
9	8365	637.834	8060928	5984256
10	6942	431.144	8290304	6230016
11	5537	266.347	8658944	6742016
12	4709	247.975	9035776	6942720
13	4172	151.978	11345920	7213056
14	3555	133.216	11767808	7626752
15	3163	143.449	12259328	8175616
16	2721	101.896	13402112	9535488
17	2431	84.0464	14065664	9936896
18	2139	55.4238	14565376	10424320
19	1860	59.7528	15134720	10973184
20	1582	45.5851	17833984	11730944
21	1419	30.2655	18763776	12529664
22	1242	37.4353	19574784	13422592
23	1094	61.2683	22495232	16314368
24	965	33.5291	23142400	16662528
25	868	14.519	23490560	16568320
26	770	16.6733	23724032	16584704
27	705	15.0732	26132480	17657856
28	624	20.3224	26365952	15769600
29	565	11.2517	26365952	16101376
30	510	11.225	26423296	16572416
31	466	20.6349	26755072	17444864
32	425	8.69483	27123712	17264640
