1	388285	5793.12	26804224	26095616
2	640731	5093.84	30248960	30175232
3	894568	3834.28	32854016	32841728
4	1.15233e+06	4362.18	34983936	34971648
5	1.43772e+06	8147.07	36847616	36847616
6	1.70763e+06	11302.1	38367232	38359040
7	1.96446e+06	14117.6	41947136	39862272
8	2.22229e+06	23746.5	43393024	41312256
9	2.33168e+06	6715.69	44752896	42631168
10	2.55442e+06	9019.48	47874048	43679744
11	2.65138e+06	11162.4	49115136	44937216
12	2.87435e+06	8224.75	50323456	46129152
13	3.09523e+06	8845.07	51494912	47316992
14	3.32766e+06	15936.9	52629504	48377856
15	3.5424e+06	7950.49	53768192	49590272
16	3.76378e+06	11340.2	54755328	50487296
17	3.96487e+06	10743.1	58040320	51675136
18	4.15034e+06	11520.7	59109376	52834304
19	4.34567e+06	13917	60260352	53968896
20	4.55819e+06	10942.6	61333504	55058432
21	4.7165e+06	23975.7	62455808	56164352
22	4.82844e+06	58675.4	63680512	57290752
23	4.75761e+06	81428.5	64872448	58474496
24	4.39233e+06	80743.9	67936256	59424768
25	3.82131e+06	219340	69124096	60620800
26	2.93524e+06	119358	69971968	61583360
27	2.48218e+06	65691.3	71180288	62660608
28	2.2243e+06	43207.3	72101888	63614976
29	2.07773e+06	38255.5	73297920	64815104
30	2.09171e+06	142502	74194944	65806336
31	1.95775e+06	38214.8	77246464	66588672
32	1.87616e+06	77700	77836288	67330048
