1	428208	7336.11	63197184	61497344
2	676264	14638.5	65261568	65183744
3	733105	13965.1	67874816	67862528
4	774291	3436.23	70082560	70074368
5	673715	8073.84	73969664	71970816
6	584923	2337.18	75595776	73539584
7	507902	2130.4	76980224	74924032
8	426816	10516.1	78196736	76103680
9	392900	9243.71	79568896	77488128
10	354524	1184.44	80637952	78561280
11	311862	3634	82042880	79962112
12	283540	271.478	83202048	80977920
13	260017	1356.34	85970944	81846272
14	243466	3675.13	86781952	82718720
15	224166	1102.66	87609344	83472384
16	210062	812.762	88510464	84332544
17	207784	579.403	89796608	85602304
18	202756	2813.52	91103232	87064576
19	198943	1545.57	93642752	88788992
20	197109	770.607	95985664	89694208
21	192229	705.452	96833536	90558464
22	188818	1783.26	97501184	91254784
23	183424	671.732	98115584	91996160
24	179334	571.625	99295232	93138944
25	172913	1033.7	100261888	93986816
26	170308	279.353	103088128	94969856
27	161600	1129.91	104013824	95633408
28	157288	1765.68	104796160	96690176
29	148956	2168.56	105529344	97218560
30	141576	343.58	107147264	98775040
31	135437	368.195	107556864	99631104
32	126834	405.285	108785664	100413440
