16	514000	8026.19	54071296	39763968
32	516882	6712.73	62132224	5201920
64	516542	2725.03	62132224	6119424
128	513118	12045.2	62132224	6156288
256	514185	4947.74	62132224	6221824
512	504870	6131.41	62132224	6414336
1024	511308	5565.78	62132224	6672384
2048	508937	4031.96	62132224	7188480
4096	515754	3640.72	62132224	9039872
8192	506637	5107.93	62132224	11878400
16384	512900	6446.05	62132224	16633856
32768	487304	28154.3	64602112	26521600
65536	492890	32667.6	79020032	43102208
131072	477757	39342.3	111710208	10211328
262144	448553	51762.5	177754112	10211328
524288	444759	55464.6	307978240	10211328
1048576	483148	21999.7	572219392	10211328
