16	11674	20.0923	23638016	4952064
32	26315	52.4671	23801856	5009408
64	46287	102.647	24064000	24064000
128	96955	263.387	24072192	24072192
256	161787	543.568	24162304	24158208
512	278020	1765.6	24330240	24309760
1024	406523	2867.22	24498176	24469504
2048	511013	3744.87	24711168	19025920
4096	626241	6472.88	24731648	24731648
8192	677159	8722.53	26013696	24395776
16384	729078	12555.6	26734592	26214400
32768	748001	6608.87	29675520	18747392
65536	747172	16157.9	33198080	30289920
131072	753397	17132	39567360	26300416
262144	779169	16441.4	48418816	36032512
524288	754397	13722	64262144	39305216
1048576	788729	8289.17	94310400	43974656
