1	108	2.64575	12599296	11997184
2	188	3.79473	13049856	12718080
3	280	2.14476	13049856	12890112
4	367	4	13049856	12988416
5	451	6.14817	15536128	13127680
6	536	8.61394	15536128	13221888
7	611	10.9087	15536128	13344768
8	703	5.54977	15536128	13426688
9	710	4.69042	15994880	13918208
10	772	4.79583	16199680	14151680
11	775	4.93964	16494592	14422016
12	837	6.01664	16789504	14700544
13	895	7.0993	19087360	14909440
14	957	8.86566	19378176	15151104
15	1008	5.98331	19521536	15351808
16	1058	6.78233	21032960	16789504
17	1097	6.63325	21450752	17326080
18	1123	5.49545	21995520	17846272
19	1153	12.0582	24653824	18395136
20	1178	9.1433	25133056	18931712
21	1206	9.46573	25714688	19468288
22	1231	8.34266	26095616	19832832
23	1256	10.2859	26505216	20234240
24	1275	10.9087	28921856	23793664
25	1288	9.45516	31182848	24973312
26	1295	7.81025	32092160	25825280
27	1306	7.36206	35033088	26779648
28	1307	12.3774	36122624	27779072
29	1323	3.31662	37036032	28844032
30	1324	7.87401	38223872	29929472
31	1329	12.6491	39292928	31064064
32	1326	13.1909	40534016	32174080
