1	214573	1.90507e+08
2	387589	2.0074e+07
3	486962	6.6827e+06
4	634860	1.30881e+07
5	764914	1.13496e+08
6	876029	5.77032e+07
7	1.00327e+06	6.14893e+07
8	1.12466e+06	6.2923e+07
9	1.2389e+06	6.64789e+07
10	1.35209e+06	1.31595e+07
11	1.42068e+06	3.2764e+08
12	1.51005e+06	5.89024e+08
13	1.57075e+06	6.29896e+08
14	1.61935e+06	2.88783e+08
15	1.68938e+06	3.20806e+08
16	1.72313e+06	3.16166e+08
17	1.70469e+06	9.00768e+08
18	1.75023e+06	1.32937e+09
19	1.79968e+06	1.94378e+09
20	1.78496e+06	9.35299e+08
21	1.79419e+06	1.40532e+09
22	1.82704e+06	1.62616e+09
23	1.84058e+06	1.82603e+09
24	1.83329e+06	8.15788e+08
25	1.85904e+06	5.69183e+08
26	1.8579e+06	1.02846e+09
27	1.8606e+06	8.88036e+08
28	1.8622e+06	1.29404e+09
29	1.87442e+06	6.70756e+08
30	1.86929e+06	1.54169e+09
31	1.872e+06	1.39129e+09
32	1.88443e+06	9.04043e+08
